Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
232908573,Запах смерті,Simon Beckett,"Beckett, Simon",Євгенія Канчура,"=""6171513822""","=""9786171513822""",4,4.18,КСД,Hardcover,448,2025,2019,2025/06/23,2025/06/23,,,read,,,,1,0
123221824,Шлях королів (Хроніки Буресвітла #1),Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Андрій Зорницький","=""6171299413""","=""9786171299412""",5,4.67,Клуб Сімейного Дозвілля,Hardcover,1152,2023,2010,2025/06/20,2025/06/20,,,read,,,,1,0
59031092,"Війна старого (Війна старого, #1)",John Scalzi,"Scalzi, John","Джон Скалці, Олексій Антомонов","=""9661062714""","=""9789661062718""",4,4.23,Навчальна книга – Богдан,Hardcover,248,2021,2005,2025/05/20,2025/05/20,,,read,,,,1,0
199331026,"Темніший колір магії (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.","Єлізавета Долгозвяг, Ольга Левченко","=""6177914764""","=""9786177914760""",3,4.04,Nebo Booklab Publishing,Hardcover,328,2023,2015,2025/05/15,2025/05/15,,,read,,,,1,0
217986936,Чорний телефон,Joe Hill,"Hill, Joe","Джо Гілл, Євген Гірін","=""6171704962""","=""9786171704961""",3,3.71,Vivat,Hardcover,416,2024,2009,2025/05/06,2025/05/05,,,read,"В 2019 році читав цю книгу під іншою назвою - ""Привиди 20 століття"". <br/>Тоді поставив їй 4 зірочки, і окремо згадував про ""За власним бажанням"". <br/><br/>Зараз (2025 рік) можу знову виділити ""За власним бажанням"", інші ж оповідання якось геть не зачепили. ",,,1,0
213639187,Герої,Joe Abercrombie,"Abercrombie, Joe",Анна Нікіфорова-Вакалюк,"=""6171507873""","=""9786171507876""",4,4.34,КСД,Hardcover,752,2024,2011,2025/04/27,2025/04/27,,,read,,,,1,0
226830778,Невгамовні мерці. П’яте розслідування,Simon Beckett,"Beckett, Simon",Євгенія Канчура,"=""6171513148""","=""9786171513143""",4,4.15,КСД,Hardcover,496,2025,2016,2025/04/08,2025/04/08,,,read,,,,1,0
219874248,Поклик з могили,Simon Beckett,"Beckett, Simon","Саймон Бекетт, Євгенія Канчура","=""6171511536""","=""9786171511538""",4,4.01,КСД,Hardcover,384,2024,2010,2025/04/01,2025/04/04,,,read,,,,1,0
228333671,"Міжзір'я (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Борис Превір","=""6178383274""","=""9786178383275""",4,4.35,Nebo Booklab Publishing,Hardcover,408,2024,2019,2025/03/29,2025/03/29,,,read,,,,1,0
63201348,"Руїна та відновлення (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,"Bardugo, Leigh",Єлена Даскал,"=""6171298018""","=""9786171298019""",3,3.98,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,352,2022,2014,2025/03/21,2025/03/21,,,read,,,,1,0
224032078,Сорочине вбивство,Anthony Horowitz,"Horowitz, Anthony","Ольга Бєлова, Маріам Губенко","=""9664484040""","=""9789664484043""",4,3.95,Видавництво Старого Лева,Hardcover,648,2025,2016,2025/03/16,2025/03/16,,,read,,,,1,0
